empno,ename,age,telecom,major,address
1,홍길동,31,kt,경영학과,인천시 서구
2,이순신,28,sk,독어독문학과,서울시 양천구
3,정약용,29,sk,경제학과,서울시 마포구
4,김유신,31,sk,수학과,경기도 화성시
5,장보고,25,kt,국제관계학과,경기도 하남시
6,정몽주,34,sk,컴퓨터공학과,경기도 성남시
7,문익점,35,sk,행정학과,서울시 용산구
8,황희,30,sk,중국어학과,서울시 도봉구
9,한석봉,35,sk,물리학과,경기도 부천시
10,황진이,27,sk,행정학과,경기도 안산시
11,안중근,26,kt,경영학과,서울시 관악구
12,김옥균,30,sk,경영학과,서울시 서초구
13,윤동주,26,kt,컴퓨터정보과,서울시 서초구
14,안창호,28,sk,유아교육,서울시 서초구
15,김좌진,25,sk,정보전기전자,서울시 중랑구
16,김두한,26,sk,의상학과,서울시 송파구
17,논개,30,kt,사학과,서울시 강서구
18,최영,31,kt,생명공학과,경기도 안성시
19,김부식,33,kt,건축학과,경기도 성남시 
20,장영실,33,lg,지적정보학과,경기도 성남시 
21,김홍도,37,sk,문화콘텐츠과,경기도 하남시
